"tlx_mental","overallTiATrust","study","overallTiAUnderstanding","perceivedSafetyCombined","Demand","Supply","Understanding","SA"
7,2.5,"trajectory-pre",3,1.75,19,23,12,16
10,1.5,"trajectory-pre",3.5,1.5,14,19,14,19
10,3.5,"trajectory-pre",2.75,-0.5,12,16,12,16
12,3,"trajectory-pre",3.75,1.25,9,14,16,21
10,4,"trajectory-pre",4,2,14,21,15,22
1,3,"trajectory-pre",4.5,1,13,23,11,21
8,2,"trajectory-pre",3.5,-0.5,12,18,16,22
5,2,"trajectory-pre",3.25,1,17,21,9,13
16,5,"trajectory-pre",4,3,15,20,15,20
10,2,"trajectory-pre",2.5,-1.75,18,18,9,9
9,4.5,"trajectory-pre",3.75,3,13,13,10,10
9,4,"trajectory-pre",3,3,15,18,12,15
15,2,"trajectory-pre",3.75,2,13,18,4,9
13,3,"trajectory-pre",3.75,0.25,15,23,12,20
9,3,"trajectory-pre",3.75,2.75,11,18,18,25
6,1,"trajectory-pre",4,0,15,15,18,18
14,4,"trajectory-pre",4.75,2.25,14,18,7,11
1,3,"trajectory-pre",4,1,5,25,20,40
14,4,"trajectory-pre",3.5,1.25,13,15,15,17
6,3.5,"trajectory-pre",3.75,3,11,15,11,15
11,3.5,"trajectory-pre",3,2,14,21,16,23
12,3.5,"trajectory-pre",3,0,13,17,14,18
10,4,"trajectory-pre",4,2,10,19,15,24
1,4,"trajectory-pre",3.25,1,11,18,12,19
12,4,"trajectory-pre",3.5,3,9,15,12,18
9,3.5,"trajectory-pre",2.5,0.25,13,16,11,14
7,1,"trajectory-pre",4,-0.25,15,14,14,13
14,3,"trajectory-pre",3.75,1,16,22,15,21
3,3,"trajectory-pre",4.25,2.5,6,13,17,24
5,4.5,"trajectory-pre",3.25,2.75,8,18,16,26
6,4,"trajectory-pre",4.5,2.5,7,15,6,14
9,5,"trajectory-pre",5,0,14,20,13,19
15,5,"trajectory-pre",5,3,15,15,13,13
15,3,"trajectory-pre",4,-0.75,18,20,13,15
7,3,"trajectory-pre",4,2.5,10,15,13,18
15,3.5,"trajectory-pre",4,2.5,10,18,11,19
5,3,"trajectory-pre",4.75,2.5,13,24,19,30
1,5,"trajectory-pre",5,2.25,11,20,16,25
13,2,"trajectory-pre",3.75,-2,14,20,14,20
18,4.5,"trajectory-pre",4,2.5,14,25,19,30
3,3,"trajectory-pre",4.25,1.5,10,15,12,17
10,4,"trajectory-pre",4,1,11,22,14,25
7,2,"trajectory-pre",2,-1,12,13,12,13
10,3.5,"trajectory-pre",3,1.25,17,22,16,21
11,4,"trajectory-pre",2.5,1.25,14,19,15,20
13,4,"trajectory-pre",2.75,1,12,19,14,21
6,3,"trajectory-pre",4,1.25,15,16,11,12
11,4,"trajectory-pre",4,0.5,15,21,15,21
5,4,"trajectory-pre",4,0,9,13,12,16
11,5,"trajectory-pre",3,-3,12,18,9,15
14,3.5,"trajectory-pre",4.25,1.75,15,16,12,13
1,5,"trajectory-pre",5,-0.75,18,23,11,16
5,5,"trajectory-pre",4.25,2.75,6,16,19,29
5,3,"trajectory-pre",3,1,13,17,10,14
3,3,"trajectory-pre",3.75,3,12,17,11,16
13,3,"trajectory-pre",3.25,2,12,15,11,14
8,4,"trajectory-pre",4.25,2,11,19,14,22
4,4,"trajectory-pre",4.5,2.75,12,24,15,27
11,3,"trajectory-pre",3,3,13,19,16,22
1,4,"trajectory-pre",3.5,2,13,11,13,11
15,4,"trajectory-pre",3,2.5,16,21,17,22
13,4.5,"trajectory-pre",2,3,14,24,10,20
11,2.5,"trajectory-pre",3.75,-0.25,14,17,13,16
13,3,"trajectory-pre",3.25,2,9,16,11,18
10,1,"trajectory-pre",2.5,-3,19,17,14,12
17,4,"trajectory-pre",3.25,2,15,19,14,18
